2022-05-27T20:04:11.048Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.049Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:11.059Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653681850.9074583","key":"LastConnectedTimeStamp"}
2022-05-27T20:04:11.059Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653681850.9074583"}
2022-05-27T20:04:17.137Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T20:04:17.138Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653681857.1366792"}
2022-05-27T20:04:17.579Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T20:04:17.581Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T20:04:17.589Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T20:04:17.592Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T20:04:17.593Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 19:02:53 +0000) | 
2022-05-27T20:04:21.885Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T20:04:21.887Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653681861.885202","key":"LastTimeForeground"}
2022-05-27T20:07:42.162Z | ERROR | NET:RESPONSE | Request failed | {"url":"http:\/\/protonstatus.com\/vpn_status","error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x28172f780 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <6770EADA-4E72-4562-950B-5F83887A67E6>.<15>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <6770EADA-4E72-4562-950B-5F83887A67E6>.<15>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=http:\/\/protonstatus.com\/vpn_status, NSErrorFailingURLKey=http:\/\/protonstatus.com\/vpn_status, _kCFStreamErrorDomainKey=4}","method":"GET"}
2022-05-27T20:07:42.162Z | ERROR | UI | Error Domain=NSURLErrorDomain Code=-1001 "The request timed out." UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x28172f780 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 "(null)" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <6770EADA-4E72-4562-950B-5F83887A67E6>.<15>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <6770EADA-4E72-4562-950B-5F83887A67E6>.<15>"
), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=http://protonstatus.com/vpn_status, NSErrorFailingURLKey=http://protonstatus.com/vpn_status, _kCFStreamErrorDomainKey=4} | 
2022-05-27T20:07:42.165Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T20:07:42.165Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T20:07:42.481Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T20:07:42.485Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T20:07:42.492Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T20:07:42.495Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T20:07:42.497Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 19:02:53 +0000) | 
2022-05-27T20:07:42.916Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
