2022-05-20T00:11:36.010Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca9ad0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn"}
2022-05-20T00:19:34.151Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-20T00:19:34.159Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-20T00:19:34.162Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-20T00:19:34.164Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-20 08:47:53 +0000) | 
2022-05-20T00:19:34.587Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-20T00:19:35.307Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==","method":"GET"}
2022-05-20T00:19:35.519Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-20T00:19:35.777Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-20T00:19:35.778Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-20T00:19:35.783Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-20T00:19:35.786Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-20T00:19:35.788Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-20 08:47:53 +0000) | 
2022-05-20T00:19:37.001Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-20T00:19:37.254Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-20T00:19:37.254Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653005977.254082"}
2022-05-20T00:20:05.596Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-20T00:20:05.912Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-20T00:20:05.913Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-20T00:20:05.917Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-20T00:20:05.918Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-20T00:20:05.918Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-20 08:47:53 +0000) | 
2022-05-20T00:20:06.075Z | DEBUG | APP | Server list saved (count: 1734) | 
2022-05-20T00:20:06.593Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-20T00:20:08.718Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-20T00:20:08.720Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653006008.718503","key":"LastTimeForeground"}
