2022-05-27T21:53:15.567Z | INFO  | CONN.CONNECT | About to start connection process | 
2022-05-27T21:53:15.576Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnected | 
2022-05-27T21:53:15.577Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T21:53:15.784Z | INFO  | CONN.CONNECT | Creating connection configuration | 
2022-05-27T21:53:15.802Z | INFO  | CONN.CONNECT | Configuring connection | 
2022-05-27T21:53:15.844Z | INFO  | CONN.CONNECT | Loading connection configuration | 
2022-05-27T21:53:15.850Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Invalid | 
2022-05-27T21:53:15.850Z | INFO  | CONN.CONNECT | Starting VPN tunnel | 
2022-05-27T21:53:15.864Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connecting to: 185.159.157.89 | 
2022-05-27T21:53:16.007Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connected to: 185.159.157.89 | 
2022-05-27T21:53:16.009Z | DEBUG | USER_CERT | Loading stored vpn authentication data | 
2022-05-27T21:53:16.011Z | DEBUG | LOCAL_AGENT | Local agent connecting to ch-ie-01a.protonvpn.net | {"config":"LocalAgentConfiguration(hostname: \"ch-ie-01a.protonvpn.net\", features: vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: true, bouncing: Optional(\"0\"), natType: vpncore.NATType.strictNAT, safeMode: nil))"}
2022-05-27T21:53:16.012Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: Connect | 
2022-05-27T21:53:16.012Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connecting | 
2022-05-27T21:53:16.012Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connecting | 
2022-05-27T21:53:16.012Z | DEBUG |  | Not checking features in connecting state | 
2022-05-27T21:53:16.012Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: establishing tls connection... | 
2022-05-27T21:53:16.013Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"false"}
2022-05-27T21:53:16.013Z | DEBUG | CONN.CONNECT | Showing state as Loading connection info because local agent not connected yet | 
2022-05-27T21:53:16.013Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:53:16.013Z | DEBUG | CONN.CONNECT | Showing state as Loading connection info because local agent not connected yet | 
2022-05-27T21:53:16.015Z | DEBUG | API | Disabling DoH while connected to VPN | 
2022-05-27T21:53:16.015Z | DEBUG | REVIEW | Saving new active connection timestamp and incrementing successful connections count | 
2022-05-27T21:53:16.016Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688395.4865794"}
2022-05-27T21:53:16.029Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T21:53:16.029Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-27T21:53:16.030Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T21:53:16.031Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T21:53:16.032Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 21:53:01 +0000) | 
2022-05-27T21:53:16.534Z | ERROR | NET:RESPONSE | Request failed | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET","error":"Error Domain=NSURLErrorDomain Code=-1003 \"A server with the specified hostname could not be found.\" UserInfo={_kCFStreamErrorCodeKey=8, NSUnderlyingError=0x2817c35a0 {Error Domain=kCFErrorDomainCFNetwork Code=-1003 \"(null)\" UserInfo={_NSURLErrorNWPathKey=satisfied (Path is satisfied), interface: utun3[lte], scoped, ipv4, dns, expensive, constrained, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <5AD1ECD3-998E-453B-8609-B79132075E37>.<35>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <5AD1ECD3-998E-453B-8609-B79132075E37>.<35>\"\n), NSLocalizedDescription=A server with the specified hostname could not be found., NSErrorFailingURLStringKey=http:\/\/protonstatus.com\/vpn_status, NSErrorFailingURLKey=http:\/\/protonstatus.com\/vpn_status, _kCFStreamErrorDomainKey=12}"}
2022-05-27T21:53:16.534Z | ERROR | UI | Error Domain=NSURLErrorDomain Code=-1003 "A server with the specified hostname could not be found." UserInfo={_kCFStreamErrorCodeKey=8, NSUnderlyingError=0x2817c35a0 {Error Domain=kCFErrorDomainCFNetwork Code=-1003 "(null)" UserInfo={_NSURLErrorNWPathKey=satisfied (Path is satisfied), interface: utun3[lte], scoped, ipv4, dns, expensive, constrained, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <5AD1ECD3-998E-453B-8609-B79132075E37>.<35>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <5AD1ECD3-998E-453B-8609-B79132075E37>.<35>"
), NSLocalizedDescription=A server with the specified hostname could not be found., NSErrorFailingURLStringKey=http://protonstatus.com/vpn_status, NSErrorFailingURLKey=http://protonstatus.com/vpn_status, _kCFStreamErrorDomainKey=12} | 
2022-05-27T21:53:16.822Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: established tls connection | 
2022-05-27T21:53:16.822Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-27T21:53:17.465Z | INFO  | LOCAL_AGENT:LOG | LocalAgent received: {"status": {"state": "connected", "features": {"netshield-level": 2, "split-tcp": true, "bouncing": "0", "randomized-nat": true, "port-forwarding": false, "jail": false, "safe-mode": false}}} | 
2022-05-27T21:53:17.465Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-27T21:53:17.465Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connected | 
2022-05-27T21:53:17.465Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connected | 
2022-05-27T21:53:17.466Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Not checking features right after connecting | 
2022-05-27T21:53:36.859Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-27T21:53:36.861Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653688416.8595638"}
2022-05-27T22:15:21.344Z | INFO  | LOCAL_AGENT:LOG | LocalAgent receive error: read tcp 10.2.0.2:52669->10.2.0.1:65432: read: socket is not connected | 
2022-05-27T22:15:21.344Z | INFO  | LOCAL_AGENT:LOG | LocalAgent connection error: (*net.OpError) read tcp 10.2.0.2:52669->10.2.0.1:65432: read: socket is not connected | 
2022-05-27T22:15:21.344Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to ConnectionError | 
2022-05-27T22:15:21.345Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connectionError | 
2022-05-27T22:15:21.345Z | DEBUG |  | Not checking features in connectionError state | 
2022-05-27T22:15:21.345Z | INFO  | LOCAL_AGENT:LOG | Local agent retry in 0.271885709s | 
2022-05-27T22:15:21.345Z | INFO  | LOCAL_AGENT:LOG | LocalAgent error closing tls connection: write tcp 10.2.0.2:52669->10.2.0.1:65432: write: broken pipe | 
2022-05-27T22:15:21.348Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T22:15:21.348Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-27T22:15:21.349Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-27T22:15:21.349Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-27T22:15:21.356Z | DEBUG | CONN.CONNECT | Showing state as Loading connection info because local agent not connected yet | 
2022-05-27T22:15:21.618Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connecting | 
2022-05-27T22:15:21.618Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connecting | 
2022-05-27T22:15:21.619Z | DEBUG |  | Not checking features in connecting state | 
2022-05-27T22:15:21.619Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: establishing tls connection... | 
2022-05-27T22:15:21.666Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-27T22:15:21.669Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-27T22:15:21.677Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-27T22:15:21.681Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-27T22:15:21.683Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-28 21:53:01 +0000) | 
2022-05-27T22:15:22.113Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: established tls connection | 
2022-05-27T22:15:22.113Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-27T22:15:22.577Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T22:15:22.625Z | INFO  | LOCAL_AGENT:LOG | LocalAgent received: {"status": {"state": "connected", "features": {"netshield-level": 2, "split-tcp": true, "bouncing": "0", "randomized-nat": true, "port-forwarding": false, "jail": false, "safe-mode": false}}} | 
2022-05-27T22:15:22.625Z | INFO  | LOCAL_AGENT:LOG | LocalAgent: waiting for message... | 
2022-05-27T22:15:22.625Z | INFO  | LOCAL_AGENT:STATE_CHANGE | Local agent shared library state reported as changed to Connected | 
2022-05-27T22:15:22.625Z | DEBUG | LOCAL_AGENT:STATE_CHANGE | Local agent state changed to connected | 
