2022-05-26T06:18:39.298Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:18:40.722Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:18:44.236Z | DEBUG | CONN.CONNECT:TRIGGER | Connect requested by clicking on Server item | 
2022-05-26T06:18:44.238Z | DEBUG | CONN.CONNECT:TRIGGER | Will connect to CH-PT#1 (ch-pt-01.protonvpn.net, load: 20) | 
2022-05-26T06:18:44.267Z | DEBUG | CONN.CONNECT | Server selected: CH-PT#1 (ch-pt-01.protonvpn.net, load: 20) | 
2022-05-26T06:18:44.321Z | INFO  | CONN.CONNECT | Selected 185.159.157.113 as server ip for ch-pt-01.protonvpn.net | 
2022-05-26T06:18:44.321Z | INFO  | CONN.CONNECT | Connecting with openVpn(vpncore.VpnProtocol.OpenVpnTransport.tcp) to CH-PT#1 via 185.159.157.113:[443, 5995, 8443] | 
2022-05-26T06:18:44.323Z | INFO  | CONN.CONNECT | VPN connect started | {"authenticationType":"credentials","protocol":"openVpn(vpncore.VpnProtocol.OpenVpnTransport.tcp)"}
2022-05-26T06:18:44.327Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-26T06:18:44.358Z | INFO  | CONN.CONNECT | On Demand set: Off for vpncore.OpenVpnProtocolFactory | 
2022-05-26T06:18:44.883Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnecting from: 185.159.157.89 | 
2022-05-26T06:18:44.885Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T06:18:45.718Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Disconnected | 
2022-05-26T06:18:45.718Z | INFO  | CONN.CONNECT | About to start connection process | 
2022-05-26T06:18:45.933Z | INFO  | CONN.CONNECT | Creating connection configuration | 
2022-05-26T06:18:45.944Z | INFO  | CONN.CONNECT | Configuring connection | 
2022-05-26T06:18:45.965Z | INFO  | CONN.CONNECT | Loading connection configuration | 
2022-05-26T06:18:45.966Z | INFO  | CONN.CONNECT | Starting VPN tunnel | 
2022-05-26T06:18:45.985Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connecting to: 185.159.157.113 | 
2022-05-26T06:18:49.997Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connected to: 185.159.157.113 | 
2022-05-26T06:18:49.998Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"false"}
2022-05-26T06:18:49.998Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:18:50.004Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1009 \"The Internet connection appears to be offline.\" UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x2815861c0 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 \"(null)\" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[lte], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <14C98FC7-B64B-436E-9DD8-6CD6DF996855>.<16>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <14C98FC7-B64B-436E-9DD8-6CD6DF996855>.<16>\"\n), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=http:\/\/protonstatus.com\/vpn_status, NSErrorFailingURLKey=http:\/\/protonstatus.com\/vpn_status, _kCFStreamErrorDomainKey=1}","method":"GET","url":"http:\/\/protonstatus.com\/vpn_status"}
2022-05-26T06:18:50.005Z | ERROR | UI | Error Domain=NSURLErrorDomain Code=-1009 "The Internet connection appears to be offline." UserInfo={_kCFStreamErrorCodeKey=50, NSUnderlyingError=0x2815861c0 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 "(null)" UserInfo={_NSURLErrorNWPathKey=unsatisfied (Path was denied by NECP policy), interface: pdp_ip0[lte], ipv6, _kCFStreamErrorCodeKey=50, _kCFStreamErrorDomainKey=1}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <14C98FC7-B64B-436E-9DD8-6CD6DF996855>.<16>, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    "LocalDataTask <14C98FC7-B64B-436E-9DD8-6CD6DF996855>.<16>"
), NSLocalizedDescription=The Internet connection appears to be offline., NSErrorFailingURLStringKey=http://protonstatus.com/vpn_status, NSErrorFailingURLKey=http://protonstatus.com/vpn_status, _kCFStreamErrorDomainKey=1} | 
2022-05-26T06:18:50.007Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.008Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.009Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.009Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.009Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:50.009Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653545929.5408921"}
2022-05-26T06:18:56.841Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T06:18:56.842Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653545936.841305","key":"LastTimeForeground"}
2022-05-26T17:50:20.285Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/featureconfig\/dynamic-bug-reports","method":"GET"}
2022-05-26T17:50:20.444Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"true","key":"ConnectOnDemand"}
2022-05-26T17:50:20.444Z | DEBUG | APP | Data refresh timer started | {"interval":"10800.0"}
2022-05-26T17:50:20.444Z | DEBUG | APP | Server loads refresh timer started | {"interval":"900.0"}
2022-05-26T17:50:20.444Z | DEBUG | APP | Account refresh timer started | {"interval":"180.0"}
2022-05-26T17:50:20.445Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/location","method":"GET"}
2022-05-26T17:50:20.446Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T17:50:20.446Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/streamingservices","method":"GET"}
2022-05-26T17:50:20.446Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig","method":"GET"}
2022-05-26T17:50:20.560Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T17:50:20.561Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-26T17:50:20.566Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/core\/v4\/notifications","method":"GET"}
2022-05-26T17:50:20.567Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T17:50:20.569Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T17:50:20.570Z | DEBUG | USER_CERT:NEW_CERT | Asking backend API for new vpn authentication certificate | 
2022-05-26T17:50:20.570Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate","method":"POST"}
2022-05-26T17:50:20.842Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/streamingservices","method":"GET"}
2022-05-26T17:50:20.862Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/location","method":"GET"}
2022-05-26T17:50:20.862Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true","method":"GET"}
2022-05-26T17:50:20.862Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig","method":"GET"}
2022-05-26T17:50:20.863Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/featureconfig\/dynamic-bug-reports","method":"GET"}
2022-05-26T17:50:20.863Z | DEBUG | APP | Dynamic bug report config downloaded and saved | 
2022-05-26T17:50:20.929Z | DEBUG | CORE | URL: https://api.protonvpn.ch/vpn/countries/count, status code: 200 | 
2022-05-26T17:50:20.946Z | DEBUG | CORE | {
  "Code" : 1000,
  "Counts" : [
    {
      "MaxTier" : 0,
      "Count" : 3
    },
    {
      "MaxTier" : 1,
      "Count" : 43
    },
    {
      "MaxTier" : 2,
      "Count" : 63
    }
  ]
} | 
2022-05-26T17:50:20.957Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/core\/v4\/notifications","method":"GET"}
2022-05-26T17:50:20.959Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T17:50:20.977Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v1\/certificate","method":"POST"}
2022-05-26T17:50:20.977Z | DEBUG | USER_CERT:NEW_CERT | Got new vpn authentication certificate valid until 2022-05-27 17:50:20 +0000 | 
2022-05-26T17:50:20.980Z | DEBUG | USER_CERT | Cert with features saved: Optional(vpncore.VPNConnectionFeatures(netshield: vpncore.NetShieldType.level2, vpnAccelerator: false, bouncing: Optional("1"), natType: vpncore.NATType.strictNAT, safeMode: Optional(false))) | 
2022-05-26T17:50:21.135Z | ERROR | CORE | Some IAP identifiers are reported as invalid by the AppStore: ["iosvpn_bundle2022_12_usd_non_renewing"] | 
2022-05-26T17:50:21.701Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/logicals?WithTranslations=true","method":"GET"}
2022-05-26T17:50:21.751Z | DEBUG | CORE | URL: https://api.protonvpn.ch/payments/v4/status, status code: 200 | 
2022-05-26T17:50:21.761Z | DEBUG | CORE | {
  "Paypal" : true,
  "Blockchain.info" : true,
  "Paymentwall" : false,
  "Card" : true,
  "Code" : 1000,
  "Apple" : true,
  "Stripe" : true,
  "Bitcoin" : true
} | 
2022-05-26T17:50:21.770Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"true","key":"paymentsBackendStatusAcceptsIAP"}
2022-05-26T17:50:21.779Z | DEBUG | REVIEW | Review user plan updated to visionary2022 | 
2022-05-26T17:50:21.780Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"streamingResourcesUrl","value":"https:\/\/protonvpn.com\/download\/resources\/"}
2022-05-26T17:50:21.781Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"172.58.207.180","key":"UserIp"}
2022-05-26T17:50:21.781Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"10","key":"MaintenanceServerRefreshIntereval"}
2022-05-26T17:50:21.783Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T17:50:21.784Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T17:50:21.785Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-27 17:50:20 +0000) | 
2022-05-26T17:50:21.945Z | DEBUG | CORE | URL: https://api.protonvpn.ch/payments/v4/plans?Currency=USD&Cycle=12, status code: 200 | 
2022-05-26T17:50:21.955Z | DEBUG | CORE | {
  "Plans" : [

  ],
  "Code" : 1000
} | 
2022-05-26T17:50:21.426Z | DEBUG | CORE | URL: https://api.protonvpn.ch/payments/v4/plans/default, status code: 200 | 
2022-05-26T17:50:21.436Z | DEBUG | CORE | {
  "Plans" : {
    "Amount" : 0,
    "Name" : "free",
    "MaxAddresses" : 1,
    "MaxMembers" : 1,
    "MaxCalendars" : 1,
    "MaxDomains" : 0,
    "MaxSpace" : 524288000,
    "Services" : null,
    "Cycle" : null,
    "Type" : 1,
    "Title" : "Proton Free",
    "MaxRewardSpace" : 1073741824,
    "MaxVPN" : 1,
    "Features" : 0,
    "Currency" : null,
    "Quantity" : 1
  },
  "Code" : 1000
} | 
2022-05-26T17:50:22.840Z | DEBUG | APP | Server list saved (count: 1730) | 
2022-05-26T17:50:48.269Z | DEBUG | CONN.CONNECT:TRIGGER | Connect requested by clicking on Server item | 
2022-05-26T17:50:48.270Z | DEBUG | CONN.CONNECT:TRIGGER | Will connect to IS-DE#1 (is-de-01.protonvpn.net, load: 59) | 
2022-05-26T17:50:48.317Z | DEBUG | CONN.CONNECT | Server selected: IS-DE#1 (is-de-01.protonvpn.net, load: 59) | 
2022-05-26T17:50:48.359Z | INFO  | CONN.CONNECT | Selected 185.159.158.139 as server ip for is-de-01.protonvpn.net | 
2022-05-26T17:50:48.360Z | INFO  | CONN.CONNECT | Connecting with openVpn(vpncore.VpnProtocol.OpenVpnTransport.tcp) to IS-DE#1 via 185.159.158.139:[8443, 5995, 443] | 
2022-05-26T17:50:48.362Z | INFO  | CONN.CONNECT | VPN connect started | {"authenticationType":"credentials","protocol":"openVpn(vpncore.VpnProtocol.OpenVpnTransport.tcp)"}
2022-05-26T17:50:48.367Z | INFO  | CONN.DISCONNECT | Closing VPN tunnel | 
2022-05-26T17:50:48.382Z | INFO  | CONN.CONNECT | On Demand set: Off for vpncore.IkeProtocolFactory | 
2022-05-26T17:50:48.389Z | ERROR | CONN | VPN error: Error Domain=NEVPNErrorDomain Code=1 "Missing protocol or protocol has invalid type" UserInfo={NSLocalizedDescription=Missing protocol or protocol has invalid type} | 
2022-05-26T17:50:48.389Z | INFO  | CONN.CONNECT | About to start connection process | 
2022-05-26T17:50:48.390Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
